top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  892 avahi     20   0   47260   2968   2596 S   0.0  0.0   0:44.26 avahi-daemon
  895 root      20   0  172824   7340   6668 S   0.0  0.0   0:00.05 networkd-dispat
  896 root      20   0   71600   4996   3664 S   0.0  0.0   1:26.49 systemd-logind
  901 syslog    20   0  263044   3988   2652 S   0.0  0.0   2:05.37 rsyslogd
  903 message+  20   0   55696   8024   3340 S   0.0  0.0   5:43.43 dbus-daemon
  905 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop17
  906 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop18
  913 avahi     20   0   47080     88      0 S   0.0  0.0   0:00.00 avahi-daemon
  933 root      20   0  563000   9496   7184 S   0.0  0.0   1:51.52 NetworkManager
  941 root      20   0  289748   5900   4752 S   0.0  0.0   1:16.29 accounts-daemon
  947 root      20   0   45236   2776   2392 S   0.0  0.0   0:17.67 wpa_supplicant
  951 wqf       20   0 20.400g  49280  32976 S   0.0  0.2   1:14.63 code
  960 root      20   0  360592   5964   4568 S   0.0  0.0   0:00.21 ModemManager
 1017 root      20   0 2595920  16880   4800 S   0.0  0.1  11:42.39 snapd
 1096 root      20   0  298492  10376   5440 S   0.0  0.0   5:04.70 polkitd
 1254 root      20   0  188984   9064   8452 S   0.0  0.0   0:00.04 unattended-upgr
 1291 root      20   0 2312116   5780    652 S   0.0  0.0  74:19.48 containerd
 1376 root      20   0  387708  17128   5492 S   0.0  0.1   0:04.75 gdm3
 1396 zhoulin   20   0 1654260  13612  10648 S   0.0  0.0   0:58.06 zeitgeist-datah
 1405 zhoulin   20   0    4632    684    616 S   0.0  0.0   0:00.00 sh
 1406 root      20   0   72300   3264   3148 S   0.0  0.0   0:00.14 sshd
 1410 zhoulin   20   0  354396   7408   6092 S   0.0  0.0   0:01.31 zeitgeist-daemo
 1466 root      20   0  266504   5576   4936 S   0.0  0.0   0:00.13 gdm-session-wor
 1522 user      20   0   77084   5020   4276 S   0.0  0.0   0:00.14 systemd
 1533 user      20   0  114128    928      0 S   0.0  0.0   0:00.00 (sd-pam)
 1580 user      20   0  283020   4280   3832 S   0.0  0.0   0:00.16 gnome-keyring-d
 1584 user      20   0  206772   4376   4376 S   0.0  0.0   0:00.00 gdm-x-session
 1586 user      20   0  998016 107900  12044 S   0.0  0.3  30:47.60 Xorg
 1643 user      20   0   50920   4432   3220 S   0.0  0.0   0:09.15 dbus-daemon
 1651 user      20   0  553920   9912   9068 S   0.0  0.0   0:03.79 gnome-session-b
 1771 user      20   0   11312     40      0 S   0.0  0.0   0:15.19 ssh-agent
 1843 user      20   0  349424   4880   4880 S   0.0  0.0   0:00.00 at-spi-bus-laun
 1848 user      20   0   49928   3168   2920 S   0.0  0.0   0:00.01 dbus-daemon
 1850 user      20   0  220788   5200   5076 S   0.0  0.0   0:00.01 at-spi2-registr
 1880 user      20   0  286604   5104   4680 S   0.0  0.0   0:00.01 gvfsd
 1885 user      20   0  416112   4072   4072 S   0.0  0.0   0:00.00 gvfsd-fuse
 1906 user      20   0 4367540 101892  41412 S   0.0  0.3  58:08.10 gnome-shell
